traffic_type,traffic,terminal_articles_count,traffic_pct,terminal_articles_pct,label
other-search,3034278822,3386425,14.9660621626,65.3,1st click
other-empty,1779965188,5093433,12.1311389486,98.22,2nd click
other-internal,132349844,1348892,8.2164945752,26.01,3rd click
other-external,116732857,787311,6.260810315,15.18,4th click
other-other,36972380,374921,14.4157188532,7.23,5+ click
link,1718399222,2598302,16.5921956077,50.11,click 1
other,60022438,414847,11.6397609938,8.0,click 2
other-2,60022438,414847,5.361916243,8.0,click 3
other-3,60022438,414847,3.5929556056,8.0,click 4
other-4,60022438,414847,6.8229466953,8.0,click 5+
